City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,maceio,-9.6658,-35.7353,28.69,69,20,6.17,BR,1680035896
1,mataura,-46.1927,168.8643,6.93,66,36,0.86,NZ,1680035748
2,bredasdorp,-34.5322,20.0403,16.65,75,72,5.94,ZA,1680035752
3,mubi,10.2676,13.2644,27.11,15,64,2.85,NG,1680035896
4,jamestown,42.097,-79.2353,7.79,51,20,4.63,US,1680035897
5,hithadhoo,-0.6,73.0833,28.09,75,100,2.12,MV,1680035897
6,port alfred,-33.5906,26.891,18.59,79,100,9.27,ZA,1680035897
7,qaanaaq,77.484,-69.3632,-22.89,68,89,2.26,GL,1680035754
8,bluff,-46.6,168.3333,7.11,63,85,4.57,NZ,1680035897
9,ushuaia,-54.8,-68.3,4.79,87,75,8.23,AR,1680035897
10,albany,42.6001,-73.9662,9.88,47,29,0.45,US,1680035877
11,talara,-4.5772,-81.2719,28.42,74,40,6.69,PE,1680035898
12,rikitea,-23.1203,-134.9692,26.81,75,100,5.23,PF,1680035746
13,mayo,38.8876,-76.5119,14.72,47,75,5.14,US,1680035848
14,fortuna,40.5982,-124.1573,11.19,91,87,5.7,US,1680035542
15,bethel,41.3712,-73.414,10.86,41,100,4.12,US,1680035638
16,cape town,-33.9258,18.4232,17.83,78,75,5.66,ZA,1680035464
17,pangody,65.85,74.4859,-14.24,97,100,2.29,RU,1680035899
18,hermanus,-34.4187,19.2345,15.45,80,100,5.0,ZA,1680035768
19,greenville,35.6127,-77.3663,20.09,56,75,2.06,US,1680035899
20,hobart,-42.8794,147.3294,13.48,98,75,1.54,AU,1680035780
21,sechura,-5.5569,-80.8222,29.01,65,97,5.88,PE,1680035899
22,osakarovka,50.565,72.5692,0.29,72,0,2.8,KZ,1680035899
23,banda aceh,5.5577,95.3222,26.29,80,71,1.14,ID,1680035797
24,hasaki,35.7333,140.8333,8.45,75,85,6.28,JP,1680035900
25,georgetown,5.4112,100.3354,26.96,94,20,0.0,MY,1680035748
26,buin,-33.7333,-70.75,29.13,20,0,4.02,CL,1680035900
27,languyan,5.2618,120.0807,25.99,83,82,3.29,PH,1680035900
28,atuona,-9.8,-139.0333,27.12,77,28,5.85,PF,1680035771
29,abu dhabi,24.4667,54.3667,26.08,51,0,3.6,AE,1680035515
30,praia da vitoria,38.7333,-27.0667,15.14,82,75,12.42,PT,1680035900
31,portland,45.5234,-122.6762,10.85,83,100,6.69,US,1680035313
32,kapaa,22.0752,-159.319,26.72,78,0,5.66,US,1680035544
33,leningradskiy,69.3833,178.4167,-14.93,81,0,3.13,RU,1680035775
34,thompson,55.7435,-97.8558,-11.91,52,100,5.66,CA,1680035570
35,leua,48.2156,18.6071,2.5,62,4,4.68,SK,1680035901
36,punta arenas,-53.15,-70.9167,7.01,61,40,9.77,CL,1680035607
37,kavieng,-2.5744,150.7967,27.01,76,99,0.45,PG,1680035789
38,chekalin,54.0969,36.245,7.27,72,100,6.53,RU,1680035902
39,kruisfontein,-34.0033,24.7314,15.48,82,40,9.82,ZA,1680035791
40,buala,-8.145,159.5921,27.2,82,99,1.82,SB,1680035902
41,kodiak,57.79,-152.4072,5.73,75,0,0.0,US,1680035549
42,naze,28.3667,129.4833,15.51,75,82,5.02,JP,1680035680
43,hilo,19.7297,-155.09,27.93,80,100,5.14,US,1680035742
44,sakaiminato,35.55,133.2333,2.99,100,20,1.54,JP,1680035902
45,bilibino,68.0546,166.4372,-22.65,93,8,1.42,RU,1680035534
46,meaford,44.6001,-80.583,7.68,57,56,2.49,CA,1680035902
47,shingu,33.7333,135.9833,8.0,63,51,2.36,JP,1680035903
48,puyang,29.4603,119.8861,11.36,65,100,0.54,CN,1680035903
49,altay,47.8667,88.1167,2.53,64,4,2.95,CN,1680035903
50,saint-georges,12.0564,-61.7485,27.82,74,40,9.26,GD,1680035903
51,sobolevo,54.4299,31.8996,6.87,86,100,4.85,RU,1680035806
52,novosysoyevka,44.235,133.3642,-0.37,71,0,1.37,RU,1680035904
53,tessalit,20.1986,1.0114,27.83,7,0,5.21,ML,1680035904
54,bafra,41.5678,35.9069,7.9,92,100,4.09,TR,1680035904
55,mattawa,46.7379,-119.9028,11.12,39,100,8.4,US,1680035904
56,nortelandia,-14.4547,-56.8028,27.14,82,98,0.54,BR,1680035904
57,mahanoro,-19.9,48.8,24.25,90,100,4.97,MG,1680035776
58,asau,46.4333,26.4,0.71,79,83,1.35,RO,1680035791
59,ponta do sol,32.6667,-17.1,24.51,18,88,1.48,PT,1680035756
60,bosaso,11.2842,49.1816,28.04,74,92,0.91,SO,1680035905
61,chabahar,25.2919,60.643,24.45,77,0,7.66,IR,1680035905
62,melilla,35.2937,-2.9383,17.21,77,0,2.06,ES,1680035688
63,avera,33.194,-82.5271,23.08,62,100,5.15,US,1680035838
64,chuy,-33.6971,-53.4616,22.85,61,14,3.48,UY,1680035796
65,kaitangata,-46.2817,169.8464,7.09,66,99,0.56,NZ,1680035769
66,gamut,8.5303,126.2422,22.81,96,100,0.73,PH,1680035906
67,juneau,58.3019,-134.4197,4.0,100,75,3.6,US,1680035746
68,ville-marie,47.3335,-79.433,0.64,84,98,2.42,CA,1680035906
69,norman wells,65.282,-126.8329,3.02,44,75,8.23,CA,1680035774
70,itarema,-2.9248,-39.9167,25.55,84,96,3.26,BR,1680035906
71,barrow,71.2906,-156.7887,-15.99,78,0,5.66,US,1680035682
72,giyon,8.5333,37.9833,15.67,84,85,1.83,ET,1680035906
73,raga,8.4596,25.678,27.63,23,91,1.58,SS,1680035907
74,soc trang,9.6033,105.98,25.75,79,66,3.85,VN,1680035907
75,laguna,38.421,-121.4238,10.6,89,100,5.66,US,1680035775
76,hirara,24.8,125.2833,20.92,83,75,3.09,JP,1680035908
77,lavrentiya,65.5833,-171.0,-5.01,95,100,4.92,RU,1680035816
78,karratha,-20.7377,116.8463,28.04,74,99,1.84,AU,1680035811
79,avarua,-21.2078,-159.775,24.03,94,100,5.14,CK,1680035751
80,carnarvon,-24.8667,113.6333,23.96,70,98,1.37,AU,1680035776
81,saint-philippe,-21.3585,55.7679,23.77,68,98,1.68,RE,1680035767
82,hereford,52.0568,-2.7148,9.47,94,100,2.96,GB,1680035908
83,kpandae,8.4689,-0.0113,31.31,45,80,0.81,GH,1680035908
84,saint-joseph,-21.3667,55.6167,23.21,67,93,0.94,RE,1680035820
85,hamilton,39.1834,-84.5333,11.47,51,100,4.12,US,1680035788
86,ust-koksa,50.2696,85.6108,-0.06,89,3,0.52,RU,1680035909
87,la ronge,55.1001,-105.2842,-9.86,29,0,3.09,CA,1680035790
88,khatanga,71.9667,102.5,-22.97,96,100,5.86,RU,1680035758
89,new norfolk,-42.7826,147.0587,13.28,91,80,1.0,AU,1680035746
90,butaritari,3.0707,172.7902,27.52,80,26,6.27,KI,1680035750
91,kokoda,-8.8785,147.7407,23.43,89,55,0.88,PG,1680035909
92,cordoba,-31.4135,-64.1811,33.01,43,20,7.2,AR,1680035906
93,sal rei,16.1833,-22.9167,23.17,77,0,4.45,CV,1680035677
94,vaini,-21.2,-175.2,27.09,89,20,4.63,TO,1680035910
95,utete,-7.986,38.758,22.95,95,89,0.86,TZ,1680035910
96,ati,13.2154,18.3353,30.65,18,79,5.2,TD,1680035910
97,abha,18.2164,42.5053,14.9,77,0,0.0,SA,1680035910
98,comodoro rivadavia,-45.8667,-67.5,15.92,25,75,3.09,AR,1680035848
99,luganville,-15.5333,167.1667,26.74,80,100,1.68,VU,1680035871
100,tuktoyaktuk,69.4541,-133.0374,-8.0,79,100,5.14,CA,1680035679
101,matara,5.9485,80.5353,24.75,89,32,1.8,LK,1680035803
102,stara zagora,42.4328,25.6419,4.89,51,100,5.19,BG,1680035911
103,upernavik,72.7868,-56.1549,-26.81,92,32,3.57,GL,1680035532
104,beboto,8.2668,16.939,29.05,20,98,2.12,TD,1680035911
105,mar del plata,-38.0023,-57.5575,29.41,49,0,6.69,AR,1680035780
106,tecoanapa,16.5167,-98.75,29.63,58,0,4.98,MX,1680035911
107,katsuura,35.1333,140.3,10.01,83,91,4.92,JP,1680035748
108,okhotsk,59.3833,143.3,-9.84,95,100,2.31,RU,1680035755
109,faanui,-16.4833,-151.75,28.35,72,92,5.24,PF,1680035826
110,ust-nera,64.5667,143.2,-8.85,96,100,2.3,RU,1680035814
111,marihatag,8.7936,126.2969,24.23,89,97,2.04,PH,1680035912
112,smithers,54.7804,-127.1743,4.18,38,0,0.0,CA,1680035912
113,mount isa,-20.7333,139.5,19.87,88,9,0.0,AU,1680035805
114,kahului,20.8947,-156.47,26.65,70,40,3.58,US,1680035835
115,balakliya,49.4627,36.8595,10.3,88,100,5.13,UA,1680035912
116,geraldton,-28.7667,114.6,23.23,68,71,5.14,AU,1680035912
117,zhigansk,66.7697,123.3711,-26.63,97,32,5.87,RU,1680035772
118,schellenberg,47.2312,9.5468,5.75,74,100,2.68,LI,1680035913
119,alice springs,-23.7,133.8833,21.75,83,40,4.12,AU,1680035803
120,lucapa,-8.4192,20.7447,19.31,94,100,0.45,AO,1680035913
121,ilulissat,69.2167,-51.1,-10.99,73,75,2.06,GL,1680035765
122,makakilo city,21.3469,-158.0858,27.18,74,75,4.63,US,1680035913
123,port lincoln,-34.7333,135.8667,16.78,79,19,7.27,AU,1680035829
124,talnakh,69.4865,88.3972,-26.73,98,99,3.19,RU,1680035591
125,otane,-39.8833,176.6333,9.45,64,8,5.72,NZ,1680035913
126,victoria,22.2855,114.1577,19.55,92,100,4.92,HK,1680035674
127,sorong,-0.8833,131.25,25.36,84,100,1.5,ID,1680035914
128,ribeira grande,38.5167,-28.7,15.43,77,75,10.73,PT,1680035746
129,port elizabeth,-33.918,25.5701,17.16,89,0,15.95,ZA,1680035781
130,puerto ayora,-0.7393,-90.3518,30.98,87,59,3.13,EC,1680035748
131,busselton,-33.65,115.3333,12.32,81,56,5.08,AU,1680035763
132,kjollefjord,70.9457,27.3465,-1.97,93,75,2.06,NO,1680035914
133,lebu,-37.6167,-73.65,14.74,64,3,4.38,CL,1680035764
134,tiksi,71.6872,128.8694,-24.97,95,94,5.24,RU,1680035756
135,tuatapere,-46.1333,167.6833,7.01,66,21,2.49,NZ,1680035809
136,baramati,18.15,74.5833,24.72,50,6,3.74,IN,1680035914
137,mildura,-34.2,142.15,15.04,93,0,5.37,AU,1680035915
138,paamiut,61.994,-49.6678,-6.85,71,26,3.03,GL,1680035823
139,vestmannaeyjar,63.4427,-20.2734,1.74,69,100,11.63,IS,1680035854
140,wajima,37.4,136.9,7.28,68,0,2.67,JP,1680035915
141,dingle,10.9995,122.6711,23.89,92,100,3.23,PH,1680035794
142,esperance,-33.8667,121.9,14.93,87,52,3.13,AU,1680035797
143,polyarnyy,69.1989,33.4478,-14.51,95,19,2.33,RU,1680035915
144,tekeli,44.83,78.8239,4.74,41,0,4.73,KZ,1680035915
145,black river,18.0264,-77.8487,27.56,67,12,5.14,JM,1680035677
146,hammond,41.5834,-87.5,11.33,46,0,6.69,US,1680035916
147,kulhudhuffushi,6.6221,73.07,27.45,75,43,2.16,MV,1680035916
148,yudong,29.385,106.5194,15.83,87,100,0.13,CN,1680035916
149,castro,-24.7911,-50.0119,20.28,89,44,1.59,BR,1680035916
150,havre-saint-pierre,50.2334,-63.5986,1.0,93,40,2.57,CA,1680035793
151,mahebourg,-20.4081,57.7,24.16,83,20,1.54,MU,1680035681
152,meulaboh,4.1363,96.1285,24.64,87,96,1.04,ID,1680035764
153,arman,59.7,150.1667,-14.99,99,100,1.58,RU,1680035821
154,airai,-8.9266,125.4092,14.52,90,96,0.7,TL,1680035783
155,placido de castro,-10.3353,-67.1856,27.82,72,98,1.05,BR,1680035916
156,chokurdakh,70.6333,147.9167,-17.16,93,100,8.48,RU,1680035761
157,provideniya,64.3833,-173.3,-2.94,93,100,10.0,RU,1680035750
158,iqaluit,63.7506,-68.5145,-9.15,78,100,6.17,CA,1680035372
159,cidreira,-30.1811,-50.2056,23.16,76,0,7.5,BR,1680035655
160,tabuk,17.4189,121.4443,21.62,95,75,0.87,PH,1680035918
161,teguise,29.0605,-13.564,20.12,68,0,2.57,ES,1680035874
162,goksun,38.021,36.4973,6.4,94,100,6.01,TR,1680035918
163,nauta,-4.5061,-73.5757,24.78,96,96,1.17,PE,1680035918
164,acara,-1.9608,-48.1967,24.23,98,100,1.45,BR,1680035918
165,saint-paul,-21.0096,55.2707,24.06,90,63,0.89,RE,1680035918
166,tezu,27.9167,96.1667,17.52,69,81,1.86,IN,1680035919
167,nanga eboko,4.6833,12.3667,24.49,71,89,1.96,CM,1680035919
168,tazovskiy,67.4667,78.7,-17.73,98,100,1.89,RU,1680035919
169,niamey,13.5137,2.1098,35.16,8,44,3.09,NE,1680035919
170,qasigiannguit,68.8193,-51.1922,-10.86,99,6,0.61,GL,1680035784
171,ucluelet,48.9329,-125.5528,15.17,31,17,0.45,CA,1680035919
172,klaksvik,62.2266,-6.589,4.51,66,100,12.36,FO,1680035919
173,yellowknife,62.456,-114.3525,-12.71,72,100,5.14,CA,1680035774
174,namatanai,-3.6667,152.4333,26.67,80,98,1.44,PG,1680035764
175,saskylakh,71.9167,114.0833,-29.41,97,88,2.97,RU,1680035781
176,los llanos de aridane,28.6585,-17.9182,18.86,78,0,4.12,ES,1680035853
177,tigil,57.8,158.6667,-9.77,92,100,3.78,RU,1680035920
178,clyde river,70.4692,-68.5914,-21.87,77,75,1.03,CA,1680035801
179,ancud,-41.8697,-73.8203,8.64,84,100,8.78,CL,1680035815
180,shakawe,-18.3667,21.85,18.39,92,82,1.8,BW,1680035920
181,mogzon,51.7435,111.9606,-0.58,86,100,4.55,RU,1680035921
182,touros,-5.1989,-35.4608,25.92,80,95,3.76,BR,1680035556
183,bellegarde-sur-valserine,46.1079,5.8242,9.62,60,100,1.26,FR,1680035921
184,isabela,6.7085,121.9711,25.24,88,100,0.53,PH,1680035921
185,kautokeino,69.0125,23.0412,-22.7,99,12,1.21,NO,1680035921
186,rafaela,-31.2503,-61.4867,31.66,36,0,1.79,AR,1680035739
187,paddhari,22.4333,70.6,23.98,66,0,4.16,IN,1680035921
188,sao joao da barra,-21.6403,-41.0511,28.05,82,36,4.02,BR,1680035559
189,vryburg,-26.9566,24.7284,17.85,66,3,4.58,ZA,1680035922
190,lima,-12.0432,-77.0282,26.14,65,0,6.69,PE,1680035317
191,kiria,41.1,24.2833,6.93,71,92,2.34,GR,1680035922
192,bintulu,3.1667,113.0333,25.23,100,40,1.03,MY,1680035922
193,oyotun,-6.8519,-79.3036,26.93,79,99,2.66,PE,1680035922
194,pringsewu,-5.3582,104.9744,23.16,97,100,0.56,ID,1680035857
195,duzce,40.8389,31.1639,5.63,97,100,1.01,TR,1680035923
196,tasiilaq,65.6145,-37.6368,-10.91,76,0,2.05,GL,1680035804
197,liberal,37.0431,-100.921,10.58,21,0,0.0,US,1680035923
198,nanortalik,60.1432,-45.2371,-1.26,80,15,2.32,GL,1680035749
199,thinadhoo,0.5333,72.9333,27.83,77,87,1.88,MV,1680035923
200,kavaratti,10.5669,72.642,26.98,72,15,2.16,IN,1680035802
201,mount gambier,-37.8333,140.7667,11.14,91,29,2.08,AU,1680035596
202,nikolskoye,59.7035,30.7861,1.55,98,100,3.62,RU,1680035766
203,cherskiy,68.75,161.3,-11.83,64,100,9.07,RU,1680035590
204,college,64.8569,-147.8028,-1.34,71,75,5.66,US,1680035755
205,albacete,38.8333,-2.0,13.45,54,0,3.6,ES,1680035924
206,bengkulu,-3.8004,102.2655,24.25,91,99,3.16,ID,1680035754
207,gizo,-8.103,156.8419,27.9,76,100,2.02,SB,1680035924
208,nemuro,43.3236,145.575,1.74,84,0,4.15,JP,1680035817
209,concepcion del oro,24.6333,-101.4167,26.88,17,39,4.7,MX,1680035924
210,severo-kurilsk,50.6789,156.125,-1.15,78,47,5.4,RU,1680035532
211,pilar,-9.5972,-35.9567,27.96,80,4,3.66,BR,1680035924
212,puhja,58.3419,26.3147,-1.98,89,100,2.12,EE,1680035925
213,lishu,43.3047,124.3278,4.92,49,0,5.56,CN,1680035925
214,vao,-22.6667,167.4833,24.76,78,90,6.91,NC,1680035925
215,vanimo,-2.6741,141.3028,25.04,85,100,1.35,PG,1680035850
216,namie,37.4833,141.0,7.63,79,99,1.88,JP,1680035925
217,neiafu,-18.65,-173.9833,28.38,78,75,4.63,TO,1680035836
218,urbana,40.1106,-88.2073,12.25,44,0,5.14,US,1680035645
219,foz do iguacu,-25.5478,-54.5881,32.44,55,75,3.09,BR,1680035926
220,charters towers,-20.1,146.2667,21.0,91,11,1.88,AU,1680035926
221,mehran,33.1222,46.1646,18.22,66,0,3.63,IR,1680035926
222,caravelas,-17.7125,-39.2481,25.07,77,0,2.68,BR,1680035779
223,moree,-29.4667,149.85,22.43,77,100,4.11,AU,1680035927
224,nove hrady,48.7896,14.7784,-0.26,65,67,1.67,CZ,1680035927
225,longyearbyen,78.2186,15.6401,-16.09,78,75,4.63,SJ,1680035759
226,belaya gora,68.5333,146.4167,-16.24,93,97,7.63,RU,1680035927
227,kampot,10.6167,104.1833,27.03,84,67,2.39,KH,1680035927
228,mokrousovo,55.8103,66.7653,4.13,92,100,3.85,RU,1680035928
229,nome,64.5011,-165.4064,-9.96,85,100,6.17,US,1680035780
230,turukhansk,65.8167,87.9833,-18.42,90,100,2.9,RU,1680035928
231,saldanha,-33.0117,17.9442,17.03,86,99,9.09,ZA,1680035753
232,mao,39.8885,4.2658,12.31,82,20,2.06,ES,1680035928
233,devonport,-41.1667,146.35,12.23,97,14,2.97,AU,1680035928
234,magadan,59.5667,150.8,-15.26,100,97,0.39,RU,1680035928
235,oussouye,12.485,-16.5469,29.1,49,8,3.11,SN,1680035928
236,bambous virieux,-20.3428,57.7575,24.14,83,20,1.54,MU,1680035779
237,arraial do cabo,-22.9661,-42.0278,25.98,78,75,3.6,BR,1680035533
238,road town,18.4167,-64.6167,28.05,69,40,3.6,VG,1680035839
239,odweyne,9.4092,45.064,24.45,65,11,0.25,SO,1680035929
240,bandrele,-12.9067,45.1914,26.86,89,0,1.54,YT,1680035929
241,erdenet,49.0333,104.0833,0.77,48,26,1.9,MN,1680035929
242,aykhal,66.0,111.5,-25.43,100,100,1.26,RU,1680035929
243,san juan,-31.5375,-68.5364,31.88,32,0,3.54,AR,1680035770
244,lata,40.1629,-8.3327,18.29,58,100,1.31,PT,1680035849
245,marang,5.2056,103.2059,25.95,87,30,0.91,MY,1680035847
246,shu,43.5983,73.7614,10.3,48,0,2.52,KZ,1680035930
247,harlingen,26.1906,-97.6961,21.05,97,100,9.77,US,1680035930
248,tommot,58.9564,126.2925,-1.78,98,100,1.67,RU,1680035795
249,havelock,34.8791,-76.9013,17.97,59,75,4.63,US,1680035820
250,balkanabat,39.5108,54.3671,14.2,66,1,1.25,TM,1680035930
251,bairiki,1.3292,172.9752,28.0,89,20,3.09,KI,1680035930
252,whitianga,-36.8333,175.7,11.64,72,18,4.08,NZ,1680035931
253,chapais,49.7834,-74.8492,-1.12,67,100,1.47,CA,1680035764
254,cayenne,4.9333,-52.3333,24.02,94,100,4.12,GF,1680035735
255,aberdeen,57.1437,-2.0981,6.27,96,100,3.09,GB,1680035795
256,preobrazheniye,42.9019,133.9064,1.42,64,0,2.36,RU,1680035931
257,north myrtle beach,33.816,-78.68,22.43,70,0,3.6,US,1680035931
258,kidal,18.4411,1.4078,27.41,7,0,5.51,ML,1680035765
259,rostovka,55.3842,71.8891,2.23,84,43,5.1,RU,1680035931
260,emba,48.8264,58.1442,12.45,43,100,4.02,KZ,1680035931
261,alta,69.9689,23.2717,-9.41,62,0,3.6,NO,1680035932
262,vila real,41.3006,-7.7441,16.69,49,100,0.43,PT,1680035932
263,wadi musa,30.3222,35.4793,14.24,35,0,1.34,JO,1680035932
264,flinders,-34.5833,150.8552,19.54,90,93,1.79,AU,1680035932
265,henties bay,-22.116,14.2845,16.72,93,5,2.85,NA,1680035932
266,bokovskaya,49.229,41.8306,10.02,73,100,5.78,RU,1680035932
267,pisco,-13.7,-76.2167,27.03,69,0,7.72,PE,1680035933
268,dikson,73.5069,80.5464,-24.39,95,100,5.79,RU,1680035756
269,motygino,58.1831,94.7592,1.94,100,100,5.48,RU,1680035933
270,valparaiso,-33.0393,-71.6273,22.13,57,0,5.14,CL,1680035764
271,san patricio,28.017,-97.5169,23.97,48,100,9.73,US,1680035778
272,lagoa,39.05,-27.9833,14.46,78,3,16.38,PT,1680035934
273,vostok,46.4856,135.8833,-4.6,81,3,2.41,RU,1680035934
274,general pico,-35.6566,-63.7568,29.69,42,0,4.96,AR,1680035934
275,panjab,34.388,67.0233,1.28,88,90,2.08,AF,1680035934
276,kovvur,17.0167,81.7333,24.98,87,80,1.53,IN,1680035934
277,ciamis,-7.3257,108.3534,23.05,97,100,0.7,ID,1680035934
